Compound,Date,Negative,Neutral,Positive,Source Account,Text
0.7978,2018-06-11 02:44:50+00:00,0.0,0.457,0.543,@CBS,Inspiration: Get to your YES! #OnceOnThisIsland #TonyAwards https://t.co/Wjp0QIWfXq
0.9523,2018-06-11 02:44:37+00:00,0.0,0.484,0.516,@CBS,The feeling when you win a Tony. 🙌 Congratulations to Once on This Island for winning Best Revival of a Musical!… https://t.co/UpFCqgBTwh
0.5994,2018-06-11 02:33:09+00:00,0.0,0.698,0.302,@CBS,What a beautiful performance by the cast of #TheBandsVisit. #TonyAwards https://t.co/4Hw96kZvrf
0.4215,2018-06-11 02:29:18+00:00,0.0,0.877,0.123,@CBS,"""I'm a living example of how theatre can change you - and it didn't just change me, it saved me."" @JohnLeguizamo at… https://t.co/4ICwMhb6hv"
0.8932,2018-06-11 02:23:56+00:00,0.0,0.483,0.517,@CBS,Angels in America takes the win for Best Revival of a Play! #TonyAwards https://t.co/zodW61tw8a
0.0,2018-06-11 02:21:03+00:00,0.0,1.0,0.0,@CBS,"RT @leahableson: The Once On This Island Goat And Chicken made it to the broadcast, Mama WILL provide #TonyAwards"
0.0,2018-06-11 02:16:06+00:00,0.0,1.0,0.0,@CBS,That performance was the GOAT. #TonyAwards https://t.co/mtoU92HipQ
0.8908,2018-06-11 02:11:03+00:00,0.0,0.509,0.491,@CBS,Harry Potter and the Cursed Child wins Best Play at the #TonyAwards! @HPPlayNYC https://t.co/WIqJQmtAlN
0.0,2018-06-11 02:05:47+00:00,0.0,1.0,0.0,@CBS,🎶 “Let's dance this last dance tonight.” 🎶 #TonyAwards #DonnaSummerMusical https://t.co/UAIaglChfv
0.4926,2018-06-11 02:03:31+00:00,0.0,0.738,0.262,@CBS,Hope he brought enough birthday cake for everyone! #TonyAwards https://t.co/FlLbKV6oj8
0.5093,2018-06-11 01:58:48+00:00,0.0,0.477,0.523,@CBS,@writerlindsayb You're welcome! #TonyAwards
0.7579,2018-06-11 01:53:17+00:00,0.0,0.519,0.481,@CBS,RT @hjmayer8: I sure do love @DearEvanHansen 💙 #TonyAwards
0.6467,2018-06-11 01:51:16+00:00,0.0,0.752,0.248,@CBS,"RT @Valerie4815: What a birthday present, the Tony audience singing happy birthday to you!! #TonyAwards"
0.0,2018-06-11 01:38:23+00:00,0.0,1.0,0.0,@CBS,If only this performance could go on forever. #TonyAwards @FrozenBroadway https://t.co/p2BMUvyTxr
0.636,2018-06-11 01:37:36+00:00,0.0,0.724,0.276,@CBS,RT @anna_villanueva: Magnificent performance from the cast of @FrozenBroadway! #TonyAwards2018 #TonyAwards #Tonys
0.8834,2018-06-11 01:30:56+00:00,0.0,0.437,0.563,@CBS,Glenda Jackson wins Best Leading Actress in a Play. #TonyAwards @threetallwomen https://t.co/GRp1gcBuiW
0.0,2018-06-11 01:29:21+00:00,0.0,1.0,0.0,@CBS,.@SaraBareilles is totally a Gryffindor. #TonyAwards https://t.co/OPQ7esk2dn
0.7351,2018-06-11 01:26:03+00:00,0.079,0.625,0.296,@CBS,RT @IzzyNY202: How impressive are these Marjory Stoneman Douglas students? That #TonyAwards performance reduced me to tears. Amazing.
0.0,2018-06-11 01:25:59+00:00,0.0,1.0,0.0,@CBS,RT @KatLargent: MAGIC #TonyAwards
